render,id,label,Level,L1,L2,L3,L4,L5,L6,,N1,N2,N3,N4,N5,N6,Angle,Radius,horiz,vert,hpos,ypos,hpos,ypos,Num,Num,parent,subparent,kind,classes,scale,oooOpacity,oookind,ooosymbol,ooox,oooy,ooow,oooh,labelParams,sssOpacity,ssskind,ssssymbol,sssstack,sssx,sssy,sssw,sssh,xxxOpacity,xxxkind,xxxsymbol,xxxstack,xxxx,xxxy,xxxw,xxxh,xxxLabel,xxxLabelParams,vvvOpacity,vvvkind,vvvsymbol,vvvstack,vvvx,vvvy,vvvw,vvvh,vvvLabel,vvvLabelParams,unoa,unob,linestyle,startKind,endKind,startOffsetX,startOffsetY,endOffsetX,endOffsetY,routing,,,,,,,
,n0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,node,,1,1,symbol,OpenCircle,1000,1000,150,150,1 1000 1000 0 0 0 0 VCThingLabel 36 ,0.1,0,0vvv,,1000,1000,255,255,0.55,ellipse,0vvv,,1000,1000,150,150,,,1,ellipse,0vvv,,1000,1000,150,150,,,,,,,,,,,,,,,,,,,
X,n1,B1,1,1,,,,,,,8,,,,,,-157.5,260,-700,0,1000,740,300,1000,,,A,,node,,1,1,symbol,OpenCircle,1000,740,95,95,1 1000 740 0 0 0 0 VCThingLabel 36 ,0.1,0,1vvv,,1000,740,161.5,161.5,0.55,ellipse,1vvv,,1000,740,95,95,,,1,ellipse,1vvv,,1000,740,95,95,,,,,,,,,,,,,,,,,,,
X,n1-1,C1,2,1,1,,,,,,8,4,,,,,-174.375,500,-775,0,854.86,521.53,225,1000,,,B1,,node,,1,1,symbol,OpenCircle,854.86,521.53,60,60,1 854.86 521.53 0 0 0 0 VCThingLabel 20 ,0.1,0,2vvv,,854.86,521.53,102,102,0.55,ellipse,2vvv,,854.86,521.53,60,60,,,1,ellipse,2vvv,,854.86,521.53,60,60,,,,,,,,,,,,,,,,,,,
X,n1-1-1,D1,3,1,1,1,,,,,8,4,3,,,,-178.125,640,-791.666666666667,0,774.56,401.02,208.333333333333,1000,,,C1,,node,,1,1,symbol,OpenCircle,774.56,401.02,35,35,1 774.56 401.02 0 0 0 0 VCThingLabel 10 ,0.1,0,3vvv,,774.56,401.02,59.5,59.5,0.55,ellipse,3vvv,,774.56,401.02,35,35,,,1,ellipse,3vvv,,774.56,401.02,35,35,,,,,,,,,,,,,,,,,,,
X,n1-1-1-1,E1,4,1,1,1,1,,,,8,4,3,3,,,-179.375,740,-797.222222222222,0,724.29,313.28,202.777777777778,1000,,,D1,,node,,1,1,symbol,OpenCircle,724.29,313.28,12,12,0 724.29 313.28 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,724.29,313.28,20.4,20.4,0.55,ellipse,4vvv,,724.29,313.28,12,12,,,1,ellipse,4vvv,,724.29,313.28,12,12,,,,,,,,,,,,,,,,,,,
X,n1-1-1-2,E2,4,1,1,1,2,,,,8,4,3,3,,,-178.125,740,-791.666666666667,0,739.33,307.43,208.333333333333,1000,,,D1,,node,,1,1,symbol,OpenCircle,739.33,307.43,12,12,0 739.33 307.43 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,739.33,307.43,20.4,20.4,0.55,ellipse,4vvv,,739.33,307.43,12,12,,,1,ellipse,4vvv,,739.33,307.43,12,12,,,,,,,,,,,,,,,,,,,
X,n1-1-1-3,E3,4,1,1,1,3,,,,8,4,3,3,,,-176.875,740,-786.111111111111,0,754.51,301.91,213.888888888889,1000,,,D1,,node,,1,1,symbol,OpenCircle,754.51,301.91,12,12,0 754.51 301.91 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,754.51,301.91,20.4,20.4,0.55,ellipse,4vvv,,754.51,301.91,12,12,,,1,ellipse,4vvv,,754.51,301.91,12,12,,,,,,,,,,,,,,,,,,,
X,n1-1-2,D2,3,1,1,2,,,,,8,4,3,,,,-174.375,640,-775,0,814.22,387.56,225,1000,,,C1,,node,,1,1,symbol,OpenCircle,814.22,387.56,35,35,1 814.22 387.56 0 0 0 0 VCThingLabel 10 ,0.1,0,3vvv,,814.22,387.56,59.5,59.5,0.55,ellipse,3vvv,,814.22,387.56,35,35,,,1,ellipse,3vvv,,814.22,387.56,35,35,,,,,,,,,,,,,,,,,,,
X,n1-1-2-1,E4,4,1,1,2,1,,,,8,4,3,3,,,-175.625,740,-780.555555555556,0,769.79,296.72,219.444444444444,1000,,,D2,,node,,1,1,symbol,OpenCircle,769.79,296.72,12,12,0 769.79 296.72 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,769.79,296.72,20.4,20.4,0.55,ellipse,4vvv,,769.79,296.72,12,12,,,1,ellipse,4vvv,,769.79,296.72,12,12,,,,,,,,,,,,,,,,,,,
X,n1-1-2-2,E5,4,1,1,2,2,,,,8,4,3,3,,,-174.375,740,-775,0,785.19,291.86,225,1000,,,D2,,node,,1,1,symbol,OpenCircle,785.19,291.86,12,12,0 785.19 291.86 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,785.19,291.86,20.4,20.4,0.55,ellipse,4vvv,,785.19,291.86,12,12,,,1,ellipse,4vvv,,785.19,291.86,12,12,,,,,,,,,,,,,,,,,,,
